Thu Aug 15 13:16:20 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   33C    P0              54W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      2616      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:   3900, sim time: 1.927 hours, wall time: 57.934 seconds, progress 1.60554689354607, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4000, sim time: 1.976 hours, wall time: 58.565 seconds, progress 1.6467830289205725, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4100, sim time: 2.025 hours, wall time: 59.231 seconds, progress 1.6876972043512783, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4200, sim time: 2.075 hours, wall time: 59.864 seconds, progress 1.7289336533499071, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4300, sim time: 2.124 hours, wall time: 1.008 minutes, progress 1.7701699477226833, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4400, sim time: 2.174 hours, wall time: 1.019 minutes, progress 1.8114067065546333, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4500, sim time: 2.223 hours, wall time: 1.030 minutes, progress 1.852643328387156, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4600, sim time: 2.272 hours, wall time: 1.042 minutes, progress 1.8935565218054988, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4700, sim time: 2.322 hours, wall time: 1.052 minutes, progress 1.9347930778127835, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4800, sim time: 2.371 hours, wall time: 1.063 minutes, progress 1.9760294407067707, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4900, sim time: 2.421 hours, wall time: 1.074 minutes, progress 2.0172658331674556, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5000, sim time: 2.470 hours, wall time: 1.084 minutes, progress 2.058502199640968, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5100, sim time: 2.519 hours, wall time: 1.095 minutes, progress 2.0994156049608104, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5200, sim time: 2.569 hours, wall time: 1.106 minutes, progress 2.14065226540635, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5300, sim time: 2.618 hours, wall time: 1.116 minutes, progress 2.1818885471180516, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5400, sim time: 2.668 hours, wall time: 1.127 minutes, progress 2.223125067060544, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5500, sim time: 2.717 hours, wall time: 1.138 minutes, progress 2.2643617508413585, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5600, sim time: 2.766 hours, wall time: 1.151 minutes, progress 2.305274849165789, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5700, sim time: 2.816 hours, wall time: 1.162 minutes, progress 2.346511586760776, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5800, sim time: 2.865 hours, wall time: 1.172 minutes, progress 2.3877480852698847, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5900, sim time: 2.915 hours, wall time: 1.183 minutes, progress 2.428984798037394, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6000, sim time: 2.964 hours, wall time: 1.194 minutes, progress 2.4702216554042, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6100, sim time: 3.013 hours, wall time: 1.205 minutes, progress 2.5111339042234233, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6200, sim time: 3.063 hours, wall time: 1.215 minutes, progress 2.552370249596675, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6300, sim time: 3.112 hours, wall time: 1.226 minutes, progress 2.5936068261449337, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6400, sim time: 3.162 hours, wall time: 1.237 minutes, progress 2.6348435016505265, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6500, sim time: 3.211 hours, wall time: 1.247 minutes, progress 2.676080220060276, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6600, sim time: 3.260 hours, wall time: 1.258 minutes, progress 2.716993042939003, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6700, sim time: 3.310 hours, wall time: 1.269 minutes, progress 2.7582296370715578, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6800, sim time: 3.359 hours, wall time: 1.280 minutes, progress 2.7994662845372122, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6900, sim time: 3.409 hours, wall time: 1.290 minutes, progress 2.840703170140439, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7000, sim time: 3.458 hours, wall time: 1.301 minutes, progress 2.881939752921837, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7100, sim time: 3.507 hours, wall time: 1.312 minutes, progress 2.922852211227538, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7200, sim time: 3.557 hours, wall time: 1.322 minutes, progress 2.964088955796902, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7300, sim time: 3.606 hours, wall time: 1.333 minutes, progress 3.0053257574635928, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7400, sim time: 3.656 hours, wall time: 1.343 minutes, progress 3.0465625914388745, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7500, sim time: 3.705 hours, wall time: 1.353 minutes, progress 3.087799268415694, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7600, sim time: 3.754 hours, wall time: 1.372 minutes, progress 3.128711316296442, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7700, sim time: 3.804 hours, wall time: 1.383 minutes, progress 3.1699481379266583, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7800, sim time: 3.853 hours, wall time: 1.393 minutes, progress 3.211185208317498, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7900, sim time: 3.903 hours, wall time: 1.404 minutes, progress 3.252422153125551, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8000, sim time: 3.952 hours, wall time: 1.414 minutes, progress 3.2936591026865427, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8100, sim time: 4.001 hours, wall time: 1.446 minutes, progress 3.334570440931448, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8200, sim time: 4.051 hours, wall time: 1.456 minutes, progress 3.375807483346603, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8300, sim time: 4.100 hours, wall time: 1.466 minutes, progress 3.4170445212800695, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8400, sim time: 4.150 hours, wall time: 1.477 minutes, progress 3.458281526246982, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8500, sim time: 4.199 hours, wall time: 1.487 minutes, progress 3.499518662627494, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8600, sim time: 4.249 hours, wall time: 1.498 minutes, progress 3.5407556187377147, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8700, sim time: 4.298 hours, wall time: 1.509 minutes, progress 3.58166668967502, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8800, sim time: 4.347 hours, wall time: 1.520 minutes, progress 3.6229037681164, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8900, sim time: 4.397 hours, wall time: 1.530 minutes, progress 3.6641408310426242, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9000, sim time: 4.446 hours, wall time: 1.541 minutes, progress 3.7053779757244687, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9100, sim time: 4.496 hours, wall time: 1.551 minutes, progress 3.746615232217481, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9200, sim time: 4.545 hours, wall time: 1.562 minutes, progress 3.7875257843029453, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9300, sim time: 4.595 hours, wall time: 1.572 minutes, progress 3.8287630155400953, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9400, sim time: 4.644 hours, wall time: 1.583 minutes, progress 3.8700003409626356, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9500, sim time: 4.693 hours, wall time: 1.593 minutes, progress 3.9112376068909915, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9600, sim time: 4.743 hours, wall time: 1.603 minutes, progress 3.9524747624200924, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9700, sim time: 4.792 hours, wall time: 1.621 minutes, progress 3.9933849848483844, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9800, sim time: 4.842 hours, wall time: 1.631 minutes, progress 4.034622182659144, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9900, sim time: 4.891 hours, wall time: 1.642 minutes, progress 4.075859343522713, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10000, sim time: 4.941 hours, wall time: 1.652 minutes, progress 4.11709653925127, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10100, sim time: 4.990 hours, wall time: 1.662 minutes, progress 4.1583338302248505, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10200, sim time: 5.039 hours, wall time: 1.688 minutes, progress 4.199244082170471, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10300, sim time: 5.089 hours, wall time: 1.698 minutes, progress 4.240481376664311, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10400, sim time: 5.138 hours, wall time: 1.709 minutes, progress 4.281718637938132, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10500, sim time: 5.188 hours, wall time: 1.719 minutes, progress 4.322955695517226, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10600, sim time: 5.237 hours, wall time: 1.729 minutes, progress 4.364192717309785, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10700, sim time: 5.286 hours, wall time: 1.739 minutes, progress 4.405103215420052, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10800, sim time: 5.336 hours, wall time: 1.750 minutes, progress 4.446340454258067, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10900, sim time: 5.385 hours, wall time: 1.760 minutes, progress 4.4875777559402215, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11000, sim time: 5.435 hours, wall time: 1.770 minutes, progress 4.528814936675532, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11100, sim time: 5.484 hours, wall time: 1.780 minutes, progress 4.570052195819506, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11200, sim time: 5.533 hours, wall time: 1.798 minutes, progress 4.610962213699301, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11300, sim time: 5.583 hours, wall time: 1.808 minutes, progress 4.652199484129367, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11400, sim time: 5.632 hours, wall time: 1.818 minutes, progress 4.693436804259395, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11500, sim time: 5.682 hours, wall time: 1.828 minutes, progress 4.734674122667137, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11600, sim time: 5.731 hours, wall time: 1.838 minutes, progress 4.77591128929993, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11700, sim time: 5.780 hours, wall time: 1.860 minutes, progress 4.816821368112134, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11800, sim time: 5.830 hours, wall time: 1.871 minutes, progress 4.8580586034453725, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11900, sim time: 5.879 hours, wall time: 1.881 minutes, progress 4.89929591046587, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12000, sim time: 5.929 hours, wall time: 1.891 minutes, progress 4.940533290592496, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12100, sim time: 5.978 hours, wall time: 1.901 minutes, progress 4.981770709399036, Δt: 1.781 seconds, CFL: 7.50e-01
