Mon Aug 19 23:04:32 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   36C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     25789      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 3.549 seconds, CFL: 7.50e-01
i:   4000, sim time: 3.920 hours, wall time: 5.027 minutes, progress 0.8165900647509463, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4100, sim time: 4.018 hours, wall time: 5.037 minutes, progress 0.8370405873634057, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4200, sim time: 4.116 hours, wall time: 5.047 minutes, progress 0.8574898363717024, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4300, sim time: 4.214 hours, wall time: 5.058 minutes, progress 0.8779404659720756, Δt: 3.558 seconds, CFL: 7.50e-01
i:   4400, sim time: 4.312 hours, wall time: 5.068 minutes, progress 0.8983914202215547, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4500, sim time: 4.410 hours, wall time: 5.078 minutes, progress 0.9188431256489702, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4600, sim time: 4.508 hours, wall time: 5.088 minutes, progress 0.9391474139744678, Δt: 3.558 seconds, CFL: 7.50e-01
i:   4700, sim time: 4.605 hours, wall time: 5.099 minutes, progress 0.9593924267884699, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4800, sim time: 4.703 hours, wall time: 5.109 minutes, progress 0.9798409695188242, Δt: 3.558 seconds, CFL: 7.50e-01
i:   4900, sim time: 4.801 hours, wall time: 5.119 minutes, progress 1.00029239420183, Δt: 3.559 seconds, CFL: 7.50e-01
i:   5000, sim time: 4.900 hours, wall time: 5.129 minutes, progress 1.020740976095565, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5100, sim time: 4.998 hours, wall time: 5.139 minutes, progress 1.0411919297961827, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5200, sim time: 5.095 hours, wall time: 5.150 minutes, progress 1.0614986656969647, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5300, sim time: 5.193 hours, wall time: 5.160 minutes, progress 1.0819494100684424, Δt: 3.559 seconds, CFL: 7.50e-01
i:   5400, sim time: 5.292 hours, wall time: 5.170 minutes, progress 1.1023991590079054, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5500, sim time: 5.390 hours, wall time: 5.181 minutes, progress 1.122848322934517, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5600, sim time: 5.487 hours, wall time: 5.191 minutes, progress 1.1430925128179952, Δt: 3.559 seconds, CFL: 7.50e-01
i:   5700, sim time: 5.584 hours, wall time: 5.201 minutes, progress 1.1634003651694158, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5800, sim time: 5.682 hours, wall time: 5.211 minutes, progress 1.1838500536006613, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5900, sim time: 5.781 hours, wall time: 5.222 minutes, progress 1.2042983711133093, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6000, sim time: 5.879 hours, wall time: 5.232 minutes, progress 1.2247479481263444, Δt: 3.558 seconds, CFL: 7.50e-01
i:   6100, sim time: 5.977 hours, wall time: 5.242 minutes, progress 1.2451953273182077, Δt: 3.556 seconds, CFL: 7.50e-01
i:   6200, sim time: 6.075 hours, wall time: 5.252 minutes, progress 1.2656429573820316, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6300, sim time: 6.173 hours, wall time: 5.263 minutes, progress 1.2859576891670383, Δt: 3.558 seconds, CFL: 7.50e-01
i:   6400, sim time: 6.271 hours, wall time: 5.273 minutes, progress 1.3064064814879635, Δt: 3.558 seconds, CFL: 7.50e-01
i:   6500, sim time: 6.369 hours, wall time: 5.283 minutes, progress 1.3268544934115012, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6600, sim time: 6.467 hours, wall time: 5.293 minutes, progress 1.347305565993475, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6700, sim time: 6.565 hours, wall time: 5.303 minutes, progress 1.3677480958722679, Δt: 3.555 seconds, CFL: 7.50e-01
i:   6800, sim time: 6.663 hours, wall time: 5.314 minutes, progress 1.3881965722158136, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6900, sim time: 6.761 hours, wall time: 5.324 minutes, progress 1.4085137283179658, Δt: 3.556 seconds, CFL: 7.50e-01
i:   7000, sim time: 6.859 hours, wall time: 5.335 minutes, progress 1.4289628735578066, Δt: 3.557 seconds, CFL: 7.50e-01
i:   7100, sim time: 6.957 hours, wall time: 5.345 minutes, progress 1.4494108317692727, Δt: 3.556 seconds, CFL: 7.50e-01
i:   7200, sim time: 7.055 hours, wall time: 5.355 minutes, progress 1.4698568199472266, Δt: 3.556 seconds, CFL: 7.50e-01
i:   7300, sim time: 7.153 hours, wall time: 5.365 minutes, progress 1.4903080083811069, Δt: 3.557 seconds, CFL: 7.50e-01
i:   7400, sim time: 7.251 hours, wall time: 5.376 minutes, progress 1.5106223678728814, Δt: 3.555 seconds, CFL: 7.50e-01
i:   7500, sim time: 7.349 hours, wall time: 5.386 minutes, progress 1.5310702486595367, Δt: 3.556 seconds, CFL: 7.50e-01
i:   7600, sim time: 7.447 hours, wall time: 5.397 minutes, progress 1.5515182325762473, Δt: 3.556 seconds, CFL: 7.50e-01
i:   7700, sim time: 7.545 hours, wall time: 5.407 minutes, progress 1.5719644106510893, Δt: 3.556 seconds, CFL: 7.50e-01
i:   7800, sim time: 7.644 hours, wall time: 5.417 minutes, progress 1.5924085589512933, Δt: 3.555 seconds, CFL: 7.50e-01
i:   7900, sim time: 7.742 hours, wall time: 5.427 minutes, progress 1.6128534501027993, Δt: 3.555 seconds, CFL: 7.50e-01
i:   8000, sim time: 7.839 hours, wall time: 5.438 minutes, progress 1.6331789120407076, Δt: 3.555 seconds, CFL: 7.50e-01
i:   8100, sim time: 7.937 hours, wall time: 5.448 minutes, progress 1.653626336472096, Δt: 3.556 seconds, CFL: 7.50e-01
i:   8200, sim time: 8.036 hours, wall time: 5.458 minutes, progress 1.6740715019841677, Δt: 3.554 seconds, CFL: 7.50e-01
i:   8300, sim time: 8.134 hours, wall time: 5.469 minutes, progress 1.6945187253103555, Δt: 3.554 seconds, CFL: 7.50e-01
i:   8400, sim time: 8.232 hours, wall time: 5.479 minutes, progress 1.7149671441511243, Δt: 3.555 seconds, CFL: 7.50e-01
i:   8500, sim time: 8.330 hours, wall time: 5.489 minutes, progress 1.7354138810901156, Δt: 3.555 seconds, CFL: 7.50e-01
i:   8600, sim time: 8.428 hours, wall time: 5.500 minutes, progress 1.7557344264758061, Δt: 3.554 seconds, CFL: 7.50e-01
i:   8700, sim time: 8.526 hours, wall time: 5.510 minutes, progress 1.7761803629652992, Δt: 3.553 seconds, CFL: 7.50e-01
i:   8800, sim time: 8.624 hours, wall time: 5.520 minutes, progress 1.7966283975317916, Δt: 3.554 seconds, CFL: 7.50e-01
i:   8900, sim time: 8.722 hours, wall time: 5.530 minutes, progress 1.8170733491786824, Δt: 3.555 seconds, CFL: 7.50e-01
i:   9000, sim time: 8.820 hours, wall time: 5.540 minutes, progress 1.8375168432800788, Δt: 3.553 seconds, CFL: 7.50e-01
i:   9100, sim time: 8.918 hours, wall time: 5.551 minutes, progress 1.8578446190576052, Δt: 3.555 seconds, CFL: 7.50e-01
i:   9200, sim time: 9.016 hours, wall time: 5.561 minutes, progress 1.8782912063214159, Δt: 3.554 seconds, CFL: 7.50e-01
i:   9300, sim time: 9.114 hours, wall time: 5.572 minutes, progress 1.8987368755238492, Δt: 3.555 seconds, CFL: 7.50e-01
i:   9400, sim time: 9.212 hours, wall time: 5.582 minutes, progress 1.9191783942528444, Δt: 3.552 seconds, CFL: 7.50e-01
i:   9500, sim time: 9.310 hours, wall time: 5.592 minutes, progress 1.9396287552564138, Δt: 3.555 seconds, CFL: 7.50e-01
i:   9600, sim time: 9.408 hours, wall time: 5.602 minutes, progress 1.9600763024584424, Δt: 3.554 seconds, CFL: 7.50e-01
i:   9700, sim time: 9.506 hours, wall time: 5.613 minutes, progress 1.9803988287965435, Δt: 3.549 seconds, CFL: 7.50e-01
i:   9800, sim time: 9.604 hours, wall time: 5.623 minutes, progress 2.0008451494575197, Δt: 3.552 seconds, CFL: 7.50e-01
i:   9900, sim time: 9.702 hours, wall time: 5.633 minutes, progress 2.021284780010907, Δt: 3.551 seconds, CFL: 7.50e-01
i:  10000, sim time: 9.800 hours, wall time: 5.644 minutes, progress 2.041727650495489, Δt: 3.552 seconds, CFL: 7.50e-01
i:  10100, sim time: 9.898 hours, wall time: 5.654 minutes, progress 2.0621855108788343, Δt: 3.555 seconds, CFL: 7.50e-01
i:  10200, sim time: 9.997 hours, wall time: 5.664 minutes, progress 2.082623965236866, Δt: 3.552 seconds, CFL: 7.50e-01
i:  10300, sim time: 10.094 hours, wall time: 5.675 minutes, progress 2.1029565048193333, Δt: 3.554 seconds, CFL: 7.50e-01
i:  10400, sim time: 10.192 hours, wall time: 5.685 minutes, progress 2.1233957081614605, Δt: 3.549 seconds, CFL: 7.50e-01
i:  10500, sim time: 10.290 hours, wall time: 5.695 minutes, progress 2.143842971795888, Δt: 3.549 seconds, CFL: 7.50e-01
i:  10600, sim time: 10.389 hours, wall time: 5.705 minutes, progress 2.164285087234634, Δt: 3.554 seconds, CFL: 7.50e-01
i:  10700, sim time: 10.487 hours, wall time: 5.716 minutes, progress 2.1847230014404766, Δt: 3.550 seconds, CFL: 7.50e-01
i:  10800, sim time: 10.584 hours, wall time: 5.726 minutes, progress 2.205066642666945, Δt: 3.552 seconds, CFL: 7.50e-01
i:  10900, sim time: 10.682 hours, wall time: 5.736 minutes, progress 2.225511334497731, Δt: 3.552 seconds, CFL: 7.50e-01
i:  11000, sim time: 10.781 hours, wall time: 5.747 minutes, progress 2.245953190379172, Δt: 3.550 seconds, CFL: 7.50e-01
i:  11100, sim time: 10.879 hours, wall time: 5.757 minutes, progress 2.2663923957313528, Δt: 3.551 seconds, CFL: 7.50e-01
i:  11200, sim time: 10.977 hours, wall time: 5.767 minutes, progress 2.2868459616072476, Δt: 3.552 seconds, CFL: 7.50e-01
i:  11300, sim time: 11.075 hours, wall time: 5.777 minutes, progress 2.307281819289887, Δt: 3.552 seconds, CFL: 7.50e-01
i:  11400, sim time: 11.173 hours, wall time: 5.788 minutes, progress 2.327621054919008, Δt: 3.549 seconds, CFL: 7.50e-01
i:  11500, sim time: 11.271 hours, wall time: 5.798 minutes, progress 2.348065559491907, Δt: 3.551 seconds, CFL: 7.50e-01
i:  11600, sim time: 11.369 hours, wall time: 5.808 minutes, progress 2.368507964865224, Δt: 3.550 seconds, CFL: 7.50e-01
i:  11700, sim time: 11.467 hours, wall time: 5.818 minutes, progress 2.3889484281038786, Δt: 3.550 seconds, CFL: 7.50e-01
i:  11800, sim time: 11.565 hours, wall time: 5.829 minutes, progress 2.40938745906737, Δt: 3.551 seconds, CFL: 7.50e-01
i:  11900, sim time: 11.663 hours, wall time: 5.839 minutes, progress 2.4298385558572435, Δt: 3.549 seconds, CFL: 7.50e-01
i:  12000, sim time: 11.761 hours, wall time: 5.849 minutes, progress 2.4501753389167127, Δt: 3.548 seconds, CFL: 7.50e-01
i:  12100, sim time: 11.859 hours, wall time: 5.860 minutes, progress 2.4706190280842235, Δt: 3.550 seconds, CFL: 7.50e-01
i:  12200, sim time: 11.957 hours, wall time: 5.870 minutes, progress 2.4910624398841485, Δt: 3.549 seconds, CFL: 7.50e-01
i:  12300, sim time: 12.055 hours, wall time: 5.880 minutes, progress 2.511505340019904, Δt: 3.549 seconds, CFL: 7.50e-01
i:  12400, sim time: 12.153 hours, wall time: 5.891 minutes, progress 2.531939627921865, Δt: 3.547 seconds, CFL: 7.50e-01
i:  12500, sim time: 12.251 hours, wall time: 5.901 minutes, progress 2.5522887079080037, Δt: 3.549 seconds, CFL: 7.50e-01
i:  12600, sim time: 12.349 hours, wall time: 5.911 minutes, progress 2.572729035635981, Δt: 3.547 seconds, CFL: 7.50e-01
i:  12700, sim time: 12.447 hours, wall time: 5.921 minutes, progress 2.593171400543143, Δt: 3.548 seconds, CFL: 7.50e-01
i:  12800, sim time: 12.545 hours, wall time: 5.932 minutes, progress 2.6136106755004973, Δt: 3.549 seconds, CFL: 7.50e-01
i:  12900, sim time: 12.643 hours, wall time: 5.942 minutes, progress 2.6340589678174, Δt: 3.548 seconds, CFL: 7.50e-01
i:  13000, sim time: 12.742 hours, wall time: 5.952 minutes, progress 2.6544976753641203, Δt: 3.549 seconds, CFL: 7.50e-01
i:  13100, sim time: 12.839 hours, wall time: 5.963 minutes, progress 2.67484390339066, Δt: 3.551 seconds, CFL: 7.50e-01
i:  13200, sim time: 12.937 hours, wall time: 5.973 minutes, progress 2.695289325505484, Δt: 3.551 seconds, CFL: 7.50e-01
i:  13300, sim time: 13.035 hours, wall time: 5.983 minutes, progress 2.715723364407827, Δt: 3.547 seconds, CFL: 7.50e-01
i:  13400, sim time: 13.133 hours, wall time: 5.993 minutes, progress 2.735958513215882, Δt: 3.547 seconds, CFL: 7.50e-01
i:  13500, sim time: 13.231 hours, wall time: 6.004 minutes, progress 2.75640092994704, Δt: 3.547 seconds, CFL: 7.50e-01
i:  13600, sim time: 13.329 hours, wall time: 6.014 minutes, progress 2.776836233650852, Δt: 3.546 seconds, CFL: 7.50e-01
i:  13700, sim time: 13.427 hours, wall time: 6.024 minutes, progress 2.797191625481165, Δt: 3.546 seconds, CFL: 7.50e-01
i:  13800, sim time: 13.525 hours, wall time: 6.035 minutes, progress 2.8176258136297316, Δt: 3.543 seconds, CFL: 7.50e-01
i:  13900, sim time: 13.623 hours, wall time: 6.045 minutes, progress 2.838073447044521, Δt: 3.548 seconds, CFL: 7.50e-01
