Mon Aug 19 23:04:34 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   31C    P0              57W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      3281      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:   3900, sim time: 1.923 hours, wall time: 5.060 minutes, progress 0.40064527834489383, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4000, sim time: 1.973 hours, wall time: 5.071 minutes, progress 0.4109502542317303, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4100, sim time: 2.022 hours, wall time: 5.081 minutes, progress 0.4212005114774866, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4200, sim time: 2.071 hours, wall time: 5.092 minutes, progress 0.4315040899951652, Δt: 1.780 seconds, CFL: 7.50e-01
i:   4300, sim time: 2.120 hours, wall time: 5.102 minutes, progress 0.441755682700222, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4400, sim time: 2.170 hours, wall time: 5.112 minutes, progress 0.4520071455816804, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4500, sim time: 2.219 hours, wall time: 5.123 minutes, progress 0.4623115400698082, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4600, sim time: 2.268 hours, wall time: 5.133 minutes, progress 0.47256243517927904, Δt: 1.780 seconds, CFL: 7.50e-01
i:   4700, sim time: 2.318 hours, wall time: 5.144 minutes, progress 0.48286604175713854, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4800, sim time: 2.367 hours, wall time: 5.154 minutes, progress 0.4931175362712149, Δt: 1.780 seconds, CFL: 7.50e-01
i:   4900, sim time: 2.416 hours, wall time: 5.164 minutes, progress 0.5034211643534817, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5000, sim time: 2.466 hours, wall time: 5.175 minutes, progress 0.5136739371207703, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5100, sim time: 2.515 hours, wall time: 5.186 minutes, progress 0.5239246718791928, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5200, sim time: 2.564 hours, wall time: 5.196 minutes, progress 0.5342291217305901, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5300, sim time: 2.614 hours, wall time: 5.206 minutes, progress 0.5444798229716415, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5400, sim time: 2.663 hours, wall time: 5.217 minutes, progress 0.5547843579274897, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5500, sim time: 2.712 hours, wall time: 5.227 minutes, progress 0.5650359330031696, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5600, sim time: 2.761 hours, wall time: 5.238 minutes, progress 0.5751834399926136, Δt: 1.780 seconds, CFL: 7.50e-01
i:   5700, sim time: 2.810 hours, wall time: 5.248 minutes, progress 0.5854870088690866, Δt: 1.780 seconds, CFL: 7.50e-01
i:   5800, sim time: 2.860 hours, wall time: 5.258 minutes, progress 0.5957379580084927, Δt: 1.780 seconds, CFL: 7.50e-01
i:   5900, sim time: 2.909 hours, wall time: 5.269 minutes, progress 0.606040577621954, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6000, sim time: 2.958 hours, wall time: 5.279 minutes, progress 0.616293889072601, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6100, sim time: 3.007 hours, wall time: 5.290 minutes, progress 0.6265454178985493, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6200, sim time: 3.057 hours, wall time: 5.300 minutes, progress 0.6368483841428992, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6300, sim time: 3.106 hours, wall time: 5.311 minutes, progress 0.6471006932564973, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6400, sim time: 3.156 hours, wall time: 5.321 minutes, progress 0.6574029455342671, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6500, sim time: 3.205 hours, wall time: 5.332 minutes, progress 0.6676544162983706, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6600, sim time: 3.254 hours, wall time: 5.343 minutes, progress 0.6779074661147679, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6700, sim time: 3.303 hours, wall time: 5.353 minutes, progress 0.688208926491202, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6800, sim time: 3.353 hours, wall time: 5.364 minutes, progress 0.6984620668460337, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6900, sim time: 3.402 hours, wall time: 5.374 minutes, progress 0.7087630712442214, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7000, sim time: 3.451 hours, wall time: 5.385 minutes, progress 0.7190145394301396, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7100, sim time: 3.500 hours, wall time: 5.395 minutes, progress 0.7292696998337638, Δt: 1.780 seconds, CFL: 7.50e-01
