Thu Aug 15 14:45:33 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:62:00.0 Off |                    0 |
| N/A   34C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     35136      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:   3900, sim time: 1.927 hours, wall time: 52.427 seconds, progress 0.40148986184248237, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4000, sim time: 1.977 hours, wall time: 53.023 seconds, progress 0.4117988934300688, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4100, sim time: 2.026 hours, wall time: 53.655 seconds, progress 0.4220273981684196, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4200, sim time: 2.075 hours, wall time: 54.252 seconds, progress 0.43233645134009874, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4300, sim time: 2.125 hours, wall time: 54.848 seconds, progress 0.44264545486297074, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4400, sim time: 2.174 hours, wall time: 55.458 seconds, progress 0.4529546110007313, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4500, sim time: 2.224 hours, wall time: 56.054 seconds, progress 0.46326369975363024, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4600, sim time: 2.273 hours, wall time: 56.687 seconds, progress 0.4734922197423821, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4700, sim time: 2.322 hours, wall time: 57.283 seconds, progress 0.48380135083425585, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4800, sim time: 2.372 hours, wall time: 57.880 seconds, progress 0.49411040674646145, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4900, sim time: 2.421 hours, wall time: 58.486 seconds, progress 0.5044194668222374, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5000, sim time: 2.471 hours, wall time: 59.084 seconds, progress 0.5147284597976012, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5100, sim time: 2.520 hours, wall time: 59.714 seconds, progress 0.5249569716352266, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5200, sim time: 2.569 hours, wall time: 1.005 minutes, progress 0.5352661084205562, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5300, sim time: 2.619 hours, wall time: 1.015 minutes, progress 0.545575093748577, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5400, sim time: 2.668 hours, wall time: 1.025 minutes, progress 0.5558841091714027, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5500, sim time: 2.718 hours, wall time: 1.035 minutes, progress 0.566193177435713, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5600, sim time: 2.767 hours, wall time: 1.046 minutes, progress 0.5764217551916959, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5700, sim time: 2.816 hours, wall time: 1.056 minutes, progress 0.5867308340874643, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5800, sim time: 2.866 hours, wall time: 1.066 minutes, progress 0.5970399062710473, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5900, sim time: 2.915 hours, wall time: 1.076 minutes, progress 0.6073490141145187, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6000, sim time: 2.965 hours, wall time: 1.086 minutes, progress 0.6176581145350711, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6100, sim time: 3.014 hours, wall time: 1.096 minutes, progress 0.6278865478202866, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6200, sim time: 3.063 hours, wall time: 1.106 minutes, progress 0.6381956082448901, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6300, sim time: 3.113 hours, wall time: 1.116 minutes, progress 0.6485047205317164, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6400, sim time: 3.162 hours, wall time: 1.126 minutes, progress 0.6588137561361428, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6500, sim time: 3.212 hours, wall time: 1.136 minutes, progress 0.6691227361264906, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6600, sim time: 3.261 hours, wall time: 1.147 minutes, progress 0.6793513190032252, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6700, sim time: 3.310 hours, wall time: 1.157 minutes, progress 0.6896603703248081, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6800, sim time: 3.360 hours, wall time: 1.167 minutes, progress 0.6999693749832512, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6900, sim time: 3.409 hours, wall time: 1.177 minutes, progress 0.7102784374359258, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7000, sim time: 3.459 hours, wall time: 1.187 minutes, progress 0.7205875649145672, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7100, sim time: 3.508 hours, wall time: 1.198 minutes, progress 0.7308161175716043, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7200, sim time: 3.557 hours, wall time: 1.207 minutes, progress 0.7411251501722781, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7300, sim time: 3.607 hours, wall time: 1.218 minutes, progress 0.7514340725683892, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7400, sim time: 3.656 hours, wall time: 1.228 minutes, progress 0.7617431070667832, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7500, sim time: 3.706 hours, wall time: 1.237 minutes, progress 0.7720521619435929, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7600, sim time: 3.754 hours, wall time: 1.248 minutes, progress 0.782177814160209, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7700, sim time: 3.804 hours, wall time: 1.258 minutes, progress 0.792486858291692, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7800, sim time: 3.853 hours, wall time: 1.268 minutes, progress 0.8027958835109053, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7900, sim time: 3.903 hours, wall time: 1.278 minutes, progress 0.813104940367353, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8000, sim time: 3.952 hours, wall time: 1.288 minutes, progress 0.8234138649646907, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8100, sim time: 4.001 hours, wall time: 1.299 minutes, progress 0.8336426005726826, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8200, sim time: 4.051 hours, wall time: 1.309 minutes, progress 0.8439514279263052, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8300, sim time: 4.100 hours, wall time: 1.319 minutes, progress 0.8542603188375494, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8400, sim time: 4.150 hours, wall time: 1.329 minutes, progress 0.8645692747238504, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8500, sim time: 4.199 hours, wall time: 1.339 minutes, progress 0.8748780822669873, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8600, sim time: 4.249 hours, wall time: 1.349 minutes, progress 0.8851869695385839, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8700, sim time: 4.298 hours, wall time: 1.359 minutes, progress 0.8954162625928013, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8800, sim time: 4.347 hours, wall time: 1.369 minutes, progress 0.9057250840770232, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8900, sim time: 4.397 hours, wall time: 1.379 minutes, progress 0.9160339285299036, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9000, sim time: 4.446 hours, wall time: 1.389 minutes, progress 0.9263427933302407, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9100, sim time: 4.496 hours, wall time: 1.399 minutes, progress 0.9366516000892253, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9200, sim time: 4.545 hours, wall time: 1.410 minutes, progress 0.9468810092373794, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9300, sim time: 4.595 hours, wall time: 1.420 minutes, progress 0.9571897962333662, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9400, sim time: 4.644 hours, wall time: 1.430 minutes, progress 0.9674985545860937, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9500, sim time: 4.693 hours, wall time: 1.440 minutes, progress 0.9778072085836312, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9600, sim time: 4.743 hours, wall time: 1.450 minutes, progress 0.9881159798707436, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9700, sim time: 4.792 hours, wall time: 1.460 minutes, progress 0.9983456088096346, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9800, sim time: 4.842 hours, wall time: 1.470 minutes, progress 1.008654253380278, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9900, sim time: 4.891 hours, wall time: 1.480 minutes, progress 1.0189627925031517, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10000, sim time: 4.941 hours, wall time: 1.490 minutes, progress 1.029271432196922, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10100, sim time: 4.990 hours, wall time: 1.500 minutes, progress 1.039579962324602, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10200, sim time: 5.039 hours, wall time: 1.511 minutes, progress 1.0498104511240285, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10300, sim time: 5.089 hours, wall time: 1.521 minutes, progress 1.0601190064774948, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10400, sim time: 5.138 hours, wall time: 1.531 minutes, progress 1.070427580811659, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10500, sim time: 5.188 hours, wall time: 1.541 minutes, progress 1.0807362214233331, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10600, sim time: 5.237 hours, wall time: 1.550 minutes, progress 1.0910445722343514, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10700, sim time: 5.286 hours, wall time: 1.561 minutes, progress 1.101275173955812, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10800, sim time: 5.336 hours, wall time: 1.571 minutes, progress 1.1115836523631166, Δt: 1.781 seconds, CFL: 7.50e-01
i:  10900, sim time: 5.385 hours, wall time: 1.581 minutes, progress 1.1218920445748954, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11000, sim time: 5.435 hours, wall time: 1.591 minutes, progress 1.1322002006393344, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11100, sim time: 5.484 hours, wall time: 1.601 minutes, progress 1.1425084745250957, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11200, sim time: 5.533 hours, wall time: 1.611 minutes, progress 1.1527399037551858, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11300, sim time: 5.583 hours, wall time: 1.621 minutes, progress 1.1630482292568924, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11400, sim time: 5.632 hours, wall time: 1.632 minutes, progress 1.173356353105596, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11500, sim time: 5.682 hours, wall time: 1.642 minutes, progress 1.1836644623352839, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11600, sim time: 5.731 hours, wall time: 1.652 minutes, progress 1.193972830020224, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11700, sim time: 5.780 hours, wall time: 1.662 minutes, progress 1.2042045120894578, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11800, sim time: 5.830 hours, wall time: 1.672 minutes, progress 1.2145125598169946, Δt: 1.781 seconds, CFL: 7.50e-01
i:  11900, sim time: 5.879 hours, wall time: 1.682 minutes, progress 1.2248208745747398, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12000, sim time: 5.929 hours, wall time: 1.692 minutes, progress 1.2351290536327566, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12100, sim time: 5.978 hours, wall time: 1.702 minutes, progress 1.2454372710614858, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12200, sim time: 6.027 hours, wall time: 1.712 minutes, progress 1.2556695856457758, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12300, sim time: 6.077 hours, wall time: 1.722 minutes, progress 1.265977799499415, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12400, sim time: 6.126 hours, wall time: 1.732 minutes, progress 1.2762856840494032, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12500, sim time: 6.176 hours, wall time: 1.742 minutes, progress 1.2865937793696622, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12600, sim time: 6.225 hours, wall time: 1.753 minutes, progress 1.2969015725000455, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12700, sim time: 6.274 hours, wall time: 1.763 minutes, progress 1.3071343144050496, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12800, sim time: 6.324 hours, wall time: 1.773 minutes, progress 1.3174422109121933, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12900, sim time: 6.373 hours, wall time: 1.783 minutes, progress 1.3277499699017825, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13000, sim time: 6.423 hours, wall time: 1.793 minutes, progress 1.3380577083521477, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13100, sim time: 6.472 hours, wall time: 1.803 minutes, progress 1.3483654689550453, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13200, sim time: 6.521 hours, wall time: 1.813 minutes, progress 1.3585990490229916, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13300, sim time: 6.571 hours, wall time: 1.823 minutes, progress 1.3689067826520838, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13400, sim time: 6.620 hours, wall time: 1.833 minutes, progress 1.3792146269780678, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13500, sim time: 6.670 hours, wall time: 1.843 minutes, progress 1.3895222399226181, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13600, sim time: 6.719 hours, wall time: 1.853 minutes, progress 1.3998298038843346, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13700, sim time: 6.768 hours, wall time: 1.864 minutes, progress 1.4100638903562486, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13800, sim time: 6.818 hours, wall time: 1.874 minutes, progress 1.420371663260152, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13900, sim time: 6.867 hours, wall time: 1.884 minutes, progress 1.4306791679844915, Δt: 1.781 seconds, CFL: 7.50e-01
